Step,Body,PosX,PosY,VelX,VelY
105000,3,-0.992163,5.11093,-12.8173,-2.47487
105000,4,18.6304,4.724,-1.6711,6.59189
106000,0,0,0,0,0
106000,1,-0.692731,-0.171065,8.45543,-34.3092
106000,2,-0.647972,0.761735,-22.6777,-19.2996
106000,3,-1.0777,5.09367,-12.7738,-2.68933
106000,4,18.6192,4.76805,-1.68668,6.58793
107000,0,0,0,0,0
107000,1,-0.599788,-0.387011,19.0981,-29.7142
107000,2,-0.785759,0.61853,-18.412,-23.4059
107000,3,-1.16293,5.07498,-12.7267,-2.90302
107000,4,18.6079,4.81208,-1.70224,6.58393
108000,0,0,0,0,0
108000,1,-0.442059,-0.561161,27.662,-21.9211
108000,2,-0.892496,0.450884,-13.4179,-26.588
108000,3,-1.24783,5.05486,-12.676,-3.11589
108000,4,18.5964,4.85607,-1.7178,6.57989
109000,0,0,0,0,0
109000,1,-0.236685,-0.674848,33.2258,-11.7912
109000,2,-0.963957,0.265418,-7.89201,-28.7199
109000,3,-1.33239,5.03332,-12.6218,-3.32787
109000,4,18.5849,4.90004,-1.73335,6.57581
110000,0,0,0,0,0
110000,1,-0.0058738,-0.716052,35.2078,-0.433081
110000,2,-0.997305,0.0694601,-2.0524,-29.7167
110000,3,-1.41656,5.01037,-12.564,-3.53891
110000,4,18.5733,4.94399,-1.74888,6.5717
111000,0,0,0,0,0
111000,1,0.225582,-0.680635,33.4221,10.9267
111000,2,-0.991209,-0.129243,3.87041,-29.5384
111000,3,-1.50035,4.98602,-12.5028,-3.74894
111000,4,18.5615,4.9879,-1.76441,6.56755
112000,0,0,0,0,0
112000,1,0.433011,-0.572672,28.088,21.0801
112000,2,-0.945898,-0.32283,9.64226,-28.1911
112000,3,-1.58371,4.96026,-12.438,-3.95791
112000,4,18.5497,5.03179,-1.77992,6.56337
113000,0,0,0,0,0
113000,1,0.594474,-0.403892,19.7945,28.964
113000,2,-0.863149,-0.503639,15.0347,-25.7274
113000,3,-1.66662,4.9331,-12.3697,-4.16576
113000,4,18.5377,5.07565,-1.79543,6.55914
114000,0,0,0,0,0
114000,1,0.693013,-0.192347,9.4296,33.7649
114000,2,-0.746224,-0.664504,19.8338,-22.2438
114000,3,-1.74907,4.90457,-12.2979,-4.37242
114000,4,18.5257,5.11948,-1.81093,6.55488
115000,0,0,0,0,0
115000,1,0.718348,0.0395239,-1.9151,34.9937
115000,2,-0.599741,-0.799046,23.8489,-17.8776
115000,3,-1.83102,4.87465,-12.2227,-4.57785
115000,4,18.5135,5.16328,-1.82641,6.55059
116000,0,0,0,0,0
